               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0077956,           0.0018398,           0.0031335,             0.94671,             0.96094,             0.97287,             0.87611,            0.015029,            0.011207,            0.006031,              0.0838,              0.0018,              0.0018
                   1,           0.0097546,           0.0025123,           0.0031103,             0.95799,             0.96584,             0.97298,             0.88192,            0.015089,            0.011049,           0.0057898,            0.066517,           0.0035168,           0.0035168
                   2,            0.010243,              0.0024,           0.0031163,              0.9538,             0.97325,             0.97318,             0.88094,             0.01532,            0.010804,           0.0055643,            0.049046,           0.0050456,           0.0050456
                   3,            0.010684,           0.0025201,           0.0031045,             0.95863,             0.97059,             0.97288,              0.8863,            0.015497,            0.010893,           0.0057008,            0.031386,           0.0063862,           0.0063862
                   4,            0.010576,           0.0025347,           0.0031167,             0.95875,              0.9701,             0.97193,             0.86068,            0.016032,            0.011054,           0.0056267,            0.013539,           0.0075388,           0.0075388
                   5,            0.011363,           0.0026469,           0.0031255,             0.95739,             0.96995,             0.97492,             0.84492,            0.016403,            0.010852,           0.0055499,            0.007525,            0.007525,            0.007525
                   6,            0.011433,             0.00245,           0.0031422,              0.9711,             0.94539,             0.97068,              0.8749,            0.015727,            0.010838,           0.0055996,            0.007525,            0.007525,            0.007525
                   7,           0.0097767,            0.002324,           0.0031648,             0.97285,             0.94754,             0.97192,             0.86818,             0.01521,            0.010647,            0.005434,             0.00703,             0.00703,             0.00703
                   8,             0.01053,           0.0023749,           0.0031821,             0.97031,              0.9531,             0.97153,             0.87334,            0.015662,            0.010764,           0.0054559,            0.006535,            0.006535,            0.006535
                   9,             0.01077,           0.0022294,            0.003179,             0.97562,             0.95892,             0.97229,             0.88035,            0.014955,            0.010642,           0.0054893,             0.00604,             0.00604,             0.00604
                  10,           0.0098952,           0.0020842,           0.0031664,             0.97372,             0.96075,             0.97323,             0.88329,            0.015041,            0.010555,           0.0055447,            0.005545,            0.005545,            0.005545
                  11,           0.0092921,           0.0020322,           0.0031408,             0.97521,             0.94797,             0.97191,             0.87964,            0.014633,            0.010529,           0.0055677,             0.00505,             0.00505,             0.00505
                  12,           0.0088535,           0.0020558,           0.0031124,             0.97503,             0.94797,             0.97059,             0.87026,            0.014694,            0.010679,           0.0055596,            0.004555,            0.004555,            0.004555
                  13,           0.0084846,           0.0019873,           0.0031115,             0.97103,             0.94797,             0.97072,             0.87862,            0.014477,            0.010891,           0.0055942,             0.00406,             0.00406,             0.00406
                  14,           0.0081008,           0.0018556,           0.0031045,             0.96224,              0.9622,             0.97201,             0.87518,              0.0145,             0.01084,           0.0055395,            0.003565,            0.003565,            0.003565
                  15,           0.0079793,           0.0018352,           0.0031079,             0.95941,             0.97141,             0.97224,             0.88593,            0.014065,            0.010576,           0.0054692,             0.00307,             0.00307,             0.00307
                  16,           0.0072737,            0.001708,           0.0030638,             0.96119,             0.97141,             0.97222,             0.88583,            0.014052,            0.010529,            0.005505,            0.002575,            0.002575,            0.002575
                  17,           0.0067934,           0.0015818,           0.0030554,             0.96122,             0.97141,             0.97235,             0.88708,            0.014051,            0.010584,           0.0055671,             0.00208,             0.00208,             0.00208
                  18,           0.0065241,           0.0014965,           0.0030288,             0.95745,             0.97141,             0.97299,             0.89001,            0.013922,            0.010594,           0.0055897,            0.001585,            0.001585,            0.001585
                  19,           0.0063004,           0.0014273,           0.0030576,             0.95668,             0.97141,             0.97282,             0.88557,             0.01391,            0.010602,           0.0055919,             0.00109,             0.00109,             0.00109
